6.5 0.0195399 -0.407263 -0.366741
6.55 0.0187265 -0.402563 -0.378003
6.6 0.0179456 -0.397782 -0.388803
6.65 0.0171959 -0.392924 -0.399131
6.7 0.0164763 -0.387993 -0.408976
6.75 0.0157855 -0.38299 -0.418329
6.8 0.0151225 -0.37792 -0.427182
6.85 0.0144862 -0.372785 -0.435524
6.9 0.0138755 -0.367589 -0.44335
6.95 0.0132893 -0.362333 -0.450652
7 0.0127269 -0.357021 -0.457424
7.05 0.0121871 -0.351655 -0.46366
7.1 0.0116691 -0.346238 -0.469355
7.15 0.0111721 -0.340772 -0.474505
7.2 0.0106952 -0.33526 -0.479106
7.25 0.0102376 -0.329705 -0.483156
7.3 0.00979845 -0.324108 -0.486652
7.35 0.0093771 -0.318472 -0.489592
7.4 0.00897281 -0.312799 -0.491975
7.45 0.00858487 -0.30709 -0.4938
7.5 0.00821261 -0.301349 -0.495069
7.55 0.0078554 -0.295577 -0.495781
7.6 0.00751262 -0.289776 -0.495939
7.65 0.00718366 -0.283948 -0.495543
7.7 0.00686796 -0.278094 -0.494597
7.75 0.00656495 -0.272216 -0.493104
7.8 0.00627411 -0.266316 -0.491067
7.85 0.00599493 -0.260396 -0.488491
7.9 0.0057269 -0.254457 -0.485381
7.95 0.00546956 -0.2485 -0.481742
8 0.00522244 -0.242527 -0.477579
8.05 0.00498511 -0.236539 -0.472899
8.1 0.00475714 -0.230538 -0.46771
8.15 0.00453811 -0.224524 -0.462018
8.2 0.00432764 -0.218499 -0.455832
8.25 0.00412534 -0.212464 -0.449159
8.3 0.00393085 -0.20642 -0.442009
8.35 0.00374381 -0.200369 -0.434391
8.4 0.00356389 -0.19431 -0.426313
8.45 0.00339074 -0.188245 -0.417788
8.5 0.00322406 -0.182175 -0.408824
8.55 0.00306354 -0.176101 -0.399432
8.6 0.00290889 -0.170022 -0.389625
8.65 0.00275981 -0.163941 -0.379413
8.7 0.00261603 -0.157858 -0.368808
8.75 0.00247728 -0.151773 -0.357823
8.8 0.0023433 -0.145686 -0.346469
8.85 0.00221385 -0.139599 -0.334761
8.9 0.00208868 -0.133512 -0.32271
